iter	RMSE
0	9.268582569
1	8.575723173
2	7.912912697
3	7.301264123
4	6.732064586
5	6.234591752
6	5.833170146
7	5.452123065
8	5.104673212
9	4.811262042
10	4.533980061
11	4.28001331
12	4.045380569
13	3.808578813
14	3.594832927
15	3.423313149
16	3.278844879
17	3.126677785
18	2.991455629
19	2.871584463
20	2.768585024
21	2.654012521
22	2.567260152
23	2.505740403
24	2.4008714
25	2.324525646
26	2.26090769
27	2.182852498
28	2.123796376
29	2.067212385
30	2.012581261
31	1.969332484
32	1.948111923
33	1.927168945
34	1.884420758
35	1.844043146
36	1.835013304
37	1.808451961
38	1.783420767
39	1.733503389
40	1.707602779
41	1.680919174
42	1.674042321
43	1.656872185
44	1.643213842
45	1.629112546
46	1.587393511
47	1.575932193
48	1.534601492
49	1.505873586
50	1.465725978
51	1.448912466
52	1.434549545
53	1.404791174
54	1.393721083
55	1.381139369
56	1.368653483
57	1.35603321
58	1.344689611
59	1.330316546
60	1.309368241
61	1.294848606
62	1.277894818
63	1.268394557
64	1.247558117
65	1.236904874
66	1.228384223
67	1.219696879
68	1.199800306
69	1.193920724
70	1.187600131
71	1.180197137
72	1.169400545
73	1.152688974
74	1.147092614
75	1.140183302
76	1.132630684
77	1.124265717
78	1.11854381
79	1.100643922
80	1.079402979
81	1.072873751
82	1.067097903
83	1.055938267
84	1.049386314
85	1.044259148
86	1.039739942
87	1.035966351
88	1.024401382
89	1.015938448
90	1.010578544
91	0.9927013306
92	0.989087402
93	0.9757124895
94	0.9708414751
95	0.9633841531
96	0.9428067611
97	0.9379593201
98	0.9280557637
99	0.9243862665
