iter	Passed	Remaining
0	2	200
1	3	186
2	5	176
3	6	166
4	8	162
5	10	160
6	12	161
7	13	158
8	15	155
9	17	153
10	19	153
11	20	152
12	22	149
13	23	147
14	25	145
15	27	145
16	29	143
17	31	141
18	32	140
19	34	139
20	36	137
21	38	134
22	39	132
23	41	131
24	43	130
25	44	127
26	46	125
27	48	124
28	50	123
29	52	121
30	53	119
31	55	117
32	57	116
33	58	114
34	60	112
35	62	110
36	63	108
37	65	107
38	67	105
39	68	103
40	70	101
41	72	100
42	74	98
43	75	96
44	77	94
45	79	93
46	81	91
47	82	89
48	84	87
49	86	86
50	88	84
51	89	82
52	91	81
53	93	79
54	94	77
55	96	76
56	98	74
57	99	72
58	101	70
59	103	69
60	105	67
61	106	65
62	108	63
63	110	62
64	111	60
65	113	58
66	115	56
67	117	55
68	118	53
69	120	51
70	122	49
71	124	48
72	125	46
73	127	44
74	129	43
75	130	41
76	132	39
77	134	37
78	135	36
79	137	34
80	139	32
81	141	31
82	142	29
83	144	27
84	146	25
85	147	24
86	149	22
87	151	20
88	152	18
89	154	17
90	156	15
91	158	13
92	160	12
93	162	10
94	163	8
95	165	6
96	166	5
97	168	3
98	170	1
99	171	0
