Commodity Code,Item Description,Qty,PE Amount,BM Amount,LB hrs,LB Amount,CE Amount,Major SC Amount,Fuel usage (L),Attribute 1,Attribute 2,Attribute 3,Attribute 4,project_number,total_new,Total,Single Unit Price,epic_embodied_carbon,aus_lci_embodied_carbon,carbon_allowance,construction_carbon,Default PE Unit Price,Default BM Unit Price,Default LB Unit Hrs,Default SC Unit Rate,Project Name,Greenfield/ Brownfield,Client,Market Sector/Industry,Lat,Long,Delivery Method,Item Type,Flag ,coordinates,state,city,suburb
ARBE,Reinstatement of concrete driveway,5.647141573942055,0.0,4.66775178945851,1.8368094553367345,9.883386880829125,12.068991852130553,0.0,1.3959533102612984,10.0,7.0,1.0,0.0,11,51399.0,37.123280046684556,5878273.672233233,0.0,0.0,4115.764458,0.00734474,0.0,0.0,1.2599210498948732,0.0,"South Pine Rd, Everton Park Water Reticulation",Brownfield,Urban Utilities,Water,-27.40222,152.98697,Framework,Item,0.0,"-27.40222, 152.98697",Queensland,Brisbane City,Everton Park
ARBE,Reinstatement of concrete driveway,1.4350845252893227,0.0,3.5300443487232585,1.1665290395761168,5.673323267171493,4.209518398423904,0.0,0.3428571258515203,10.0,5.0,1.0,0.0,12,2543.0,13.64229909961375,220922643.57339975,0.0,0.0,769.9897733,0.000108819,0.0,0.0,1.2599210498948732,0.0,"Byram Street, New Farm Water Reticulation",Brownfield,Urban Utilities,Water,-27.46321,153.04661,Framework,Item,0.0,"-27.46321, 153.04661",Queensland,Brisbane City,New Farm
ARBE,Reinstatement of Driveway,3.1179499062782403,0.0,4.096380613568636,1.3870232258442192,7.355001921105257,6.413573699771935,0.0,0.6008041144444334,12.0,7.0,1.0,0.0,14,7999.0,19.98331942512211,44023377.26277668,0.0,0.0,1880.207586,0.000585548,0.0,0.0,1.2599210498948732,0.0,Ellerdale St Aspley Water Reticulation,Brownfield,Urban Utilities,Water,-27.36091,153.02014,Framework,Item,1.0,"-27.36091, 153.02014",Queensland,Brisbane City,Aspley
ARBE,Reinstatement of concrete driveway,4.857173265982854,0.0,4.650979109555058,1.6824260060797678,9.093469420244768,9.906188136855505,0.0,1.0727814795769066,16.0,5.0,1.0,0.0,16,28756.0,30.598356669121276,11039573.189360585,0.0,0.0,4027.822473,0.003333478,0.0,0.0,1.2599210498948732,0.0,"Kennedy Street, Brighton Water Reticulation",Brownfield,Urban Utilities,Water,-27.30536,153.06176,Framework,Item,0.0,"-27.30536, 153.06176",Queensland,Brisbane City,Brighton
ARBE,Reinstatement Driveway,2.9997242948235283,0.0,3.7479938620633035,1.3699873177397457,7.236339342754344,6.2264391067415295,0.0,0.5775877687482264,10.0,5.0,1.0,0.0,18,5680.0,17.82442466114094,22430996.091312997,0.0,0.0,1103.055117,0.000520257,0.0,0.0,1.2599210498948732,0.0,"Payne Street, Auchenflower Water Reticulation",Brownfield,Urban Utilities,Water,-27.46971,152.99343,Framework,Item,1.0,"-27.46971, 152.99343",Queensland,Ipswich City,Auchenflower
ARBE,Reinstatement of Concrete Driveway,3.53921867955953,0.0,3.285590545863397,1.6892381903525913,9.131838143821225,10.001499662618077,0.0,1.086587426829305,16.0,5.0,2.0,0.0,19,20620.0,27.372078043457268,211144852.39732602,0.0,0.0,481.030791,0.00346384,0.0,0.0,1.2599210498948732,0.0,"Samford Road, Enoggera",Brownfield,Urban Utilities,Water,-27.420576,152.985662,Framework,Item,0.0,"-27.420576, 152.985662",Queensland,Ipswich City,Enoggera
ARBE,Reinstatement of Concrete driveway,0.9707789171582248,0.0,3.9389617877062713,1.2765180070092417,6.565264970035361,5.262581576398836,0.0,0.9944392790311357,10.0,5.0,1.0,0.0,20,5220.0,17.33698969545639,7690444435.139695,0.0,0.0,1428.179654,0.002655208,0.0,0.0,1.2599210498948732,0.0,"Ellena Street, Paddington",Brownfield,Urban Utilities,Water,-27.459128,152.997412,Framework,Item,0.0,"-27.459128, 152.997412",Queensland,Ipswich City,Paddington
ARBE,Reinstatement of Driveway,1.3711807233098425,0.0,3.7673475971656334,1.329754545639786,6.9650803456014065,5.817030912018369,0.0,0.5274836897392486,16.0,4.0,2.0,0.0,21,5075.0,17.170148328704578,2120692777.970408,0.0,0.0,1093.217036,0.00039627,0.0,0.0,1.2599210498948732,0.0,"Turbot Street, Brisbane CBD",Brownfield,Urban Utilities,Water,-27.469196,153.020705,Framework,Item,0.0,"-27.469196, 153.020705",Queensland,Ipswich City,Brisbane City
ARBE,Reinstatement of Concrete Driveway,2.4527277514237653,0.0,4.665492578878428,1.4980679431428716,8.045588280803528,7.622555751540017,0.0,0.7564478691219296,16.0,5.0,1.0,0.0,22,16846.0,25.615647985312457,3026423735.138184,0.0,0.0,3943.458305,0.001168694,0.0,0.0,1.2599210498948732,0.0,"Beams Road, Carseldine",Brownfield,Urban Utilities,Water,-27.346182,153.013684,Framework,Item,0.0,"-27.346182, 153.013684",Queensland,Brisbane City,Carseldine
ARBE,Reinstatement of Concrete Driveway,1.9919755158985601,0.0,3.819327959149012,1.4234978142529124,7.584773077612199,6.793520665815135,0.0,0.6487513670472862,16.0,4.0,1.0,0.0,23,7225.0,19.310681622380624,948126988.1898869,0.0,0.0,1154.414522,0.000737223,0.0,0.0,1.2599210498948732,0.0,"Brunswick Street, Spring Hill",Brownfield,Urban Utilities,Water,-27.454213,153.029583,Framework,Item,1.0,"-27.454213, 153.029583",Queensland,Brisbane City,Fortitude Valley
ARBE,Reinstatement of Concrete Driveway,2.2027647577118348,0.0,4.062904134974884,1.4537464474156747,7.795646536334594,7.160570855258475,0.0,0.6959742223024306,10.0,3.0,1.0,0.0,24,9585.0,21.220651526870974,1177287913.3783307,0.0,0.0,1672.859704,0.000910213,0.0,0.0,1.2599210498948732,0.0,"Boomerang Street, Milton",Brownfield,Urban Utilities,Water,-27.467454,153.010276,Framework,Item,1.0,"-27.467454, 153.010276",Queensland,Brisbane City,Milton
ARBE,Reinstatement of Concrete Driveway,0.8754687373538999,0.0,3.749344734394138,1.259921049894873,6.4692503167957724,5.138166751370393,0.0,0.4471439661595291,13.0,3.0,1.0,0.0,25,4127.0,16.029892036025004,5055238509.765625,0.0,0.0,1033.171244,0.000241383,0.0,0.0,1.2599210498948732,0.0,"Makerston Street, Brisbane City",Brownfield,Urban Utilities,Water,-27.466563,153.018872,Framework,Item,1.0,"-27.466563, 153.018872",Queensland,Ipswich City,Brisbane City
ARBE,Reinstatement of Concrete Driveway,1.2499017362143359,0.0,3.1633308753834015,1.3052998807949199,6.843749949006225,5.642992703892263,0.0,0.506584740379626,16.0,3.0,1.0,0.0,26,2964.0,14.346781441356557,605778785.3655455,0.0,0.0,372.6557188,0.00035101,0.0,0.0,1.2599210498948732,0.0,"George Street, Brisbane City",Brownfield,Urban Utilities,Water,-27.466735,153.019517,Framework,Item,1.0,"-27.466735, 153.019517",Queensland,Ipswich City,Brisbane City
ARBE,Reinstatement of Concrete Driveway,3.6908774567766094,0.0,5.206528168292658,1.7189069445673932,9.283404942833188,10.388070137718154,0.0,1.1429297360175765,10.0,5.0,1.0,0.0,27,42453.0,34.8488721883204,1177376627.6634848,0.0,0.0,7205.717574,0.004031089,0.0,0.0,1.2599210498948732,0.0,"Homebush Road, Kedron",Brownfield,Urban Utilities,Water,-27.41039,153.030902,Framework,Item,1.0,"-27.41039, 153.030902",Queensland,Brisbane City,Kedron
ARBE,Reinstatement of concrete driveway,4.340683671139499,0.0,3.7549473301535747,1.573118124014776,8.487764380725425,8.513781832868428,0.0,0.8766277796190023,12.0,5.0,1.0,0.0,85,12970.0,23.459565294127597,4758551.184233835,0.0,0.0,1139.282326,0.001818903,0.0,0.0,1.2599210498948732,0.0,Callan St Keperra Water Reticulation,Brownfield,Urban Utilities,Water,-27.409232,152.961377,Framework,Item,0.0,"-27.409232, 152.961377",Queensland,Brisbane City,Keperra
ARBE,Reinstatement of concrete driveway,4.047602299669969,0.0,3.575957419367885,1.5338703441645078,8.27052509505507,8.063688537390034,0.0,0.8153614385403121,14.0,5.0,1.0,0.0,88,10272.0,21.70473255738625,5694241.985240524,0.0,0.0,849.88917,0.001463573,0.0,0.0,1.2599210498948732,0.0,High St Brighton Water Reticulation,Brownfield,Urban Utilities,Water,-27.295344,153.055379,Framework,Item,1.0,"-27.295344, 153.055379",Queensland,Brisbane City,Brighton
ARBE,Reinstatement of concrete driveway,3.5478917608129588,0.0,3.2903614148625198,1.522670216302517,8.204124932574041,7.930746545821872,0.0,0.7975232845342044,10.0,4.0,1.0,0.0,89,8924.0,20.707976108968126,16701268.38601117,0.0,0.0,515.7863973,0.0013696,0.0,0.0,1.2599210498948732,0.0,Kingsmill St Chermside Water Reticulation,Brownfield,Urban Utilities,Water,-27.388343,153.037038,Framework,Item,1.0,"-27.388343, 153.037038",Queensland,Brisbane City,Chermside
ARBE,Reinstatement of concrete driveway,4.044103345785354,0.0,3.573959436789476,1.715971094179557,9.274722630905451,10.365247436399077,0.0,1.1395947882718662,13.0,5.0,1.0,0.0,90,24420.0,28.961105210000902,77150879.28938095,0.0,0.0,847.0440125,0.003995905,0.0,0.0,1.2599210498948732,0.0,Queens Rd 1 Banyo Water Reticulation,Brownfield,Urban Utilities,Water,-27.363775,153.092359,Framework,Item,1.0,"-27.363775, 153.092359",Queensland,Brisbane City,Nudgee
ARBE,Reinstatement of concrete driveway,2.725890119230541,0.0,2.8692762694953364,1.3870232258442192,7.347943823148687,6.402171745887359,0.0,0.5994204719070159,10.0,4.0,1.0,0.0,93,3809.0,15.591206966666512,15289754.735074554,0.0,0.0,226.7996924,0.000581512,0.0,0.0,1.2599210498948732,0.0,Racecourse Rd Ascot Water Reticulation,Brownfield,Urban Utilities,Water,-27.434732,153.065026,Framework,Item,0.0,"-27.434732, 153.065026",Queensland,Brisbane City,Ascot
